source_name,category,priority_rank,url,rss_url,api_endpoint,source_type,jurisdiction,confidence_weight,active,notes,content_expectation,useful_life_days,terms_reviewed,content_source
AusPayNet Insights,banking_payments,1,https://auspaynet.com.au/insights,,,scrape,AU,0.90,True,"AusPayNet replacement — /insights page is scrapeable (HTTP 200). Covers payments policy, fraud stats, and industry developments. Note: no-www URL required.",continuous,14,False,False
ASX Operational Notices,banking_payments,1,https://www.asx.com.au/markets/trade-our-cash-market/operating-our-market.htm,,,scrape,AU,0.95,False,ASX market operational notices and trading halts. [404] URL needs update.,continuous,14,False,False
AusPayNet,banking_payments,1,https://www.auspaynet.com.au/resources/news-and-events,,,scrape,AU,0.97,False,Australian Payments Network (old URL). [404] Use AusPayNet Insights replacement instead.,continuous,14,False,False
RBA Payments & Infrastructure,banking_payments,1,https://www.rba.gov.au/payments-and-infrastructure/,https://www.rba.gov.au/rss/rss-cb-media-releases.xml,,rss,AU,0.97,False,"RBA payments system oversight and operational notices. [DEACTIVATED] SSL certificate verify failed — likely environment issue, investigate on VM.",continuous,14,False,False
SWIFT Newsroom,banking_payments,2,https://www.swift.com/news-events/news,https://www.swift.com/rss/news,,rss,GLOBAL,0.93,False,SWIFT messaging network news. RSS feed times out (>15s) — likely rate-limited or geo-blocked. Keep deactivated.,continuous,14,False,False
AWS Service Health,cloud_technology,1,https://health.aws.amazon.com/health/status,https://status.aws.amazon.com/rss/all.rss,,rss,GLOBAL,0.95,True,"AWS all-regions health feed. Third-party cloud dependency risk. USS-TJR-MSN-0339 WP1: incident-only feed — zero items during a quiet period is expected/correct, not a failure (MSN-0338 §2/§9). Also found and fixed live 2026-07-08: rss_url was plain http:// — connection refused outright (server now https-only); switched to https://, confirmed 200.",intermittent,14,False,False
AWS Sydney (ap-southeast-2),cloud_technology,1,https://health.aws.amazon.com/health/status,https://status.aws.amazon.com/rss/ec2-ap-southeast-2.rss,,rss,AU,0.97,True,"AWS EC2 Sydney region — most relevant for AU-hosted workloads. USS-TJR-MSN-0339 WP1: confirmed live 2026-07-08, valid RSS, zero <item> elements — real, correct content (no active incident right now), not a broken feed. Was previously misreported as failing (MSN-0338 §2/§9).",intermittent,14,False,False
<<<<<<< HEAD
GitHub Status,cloud_technology,1,https://www.githubstatus.com/,https://www.githubstatus.com/history.atom,,rss,GLOBAL,0.92,True,Atlassian Statuspage. Atom 1.0 confirmed. Incident history feed.,continuous,14,False,False
Google Cloud Status,cloud_technology,1,https://status.cloud.google.com/,https://status.cloud.google.com/en/feed.atom,,rss,GLOBAL,0.95,True,GCP global status Atom feed. JSON incidents also at /incidents.json.,continuous,14,False,False
Microsoft Azure Status,cloud_technology,1,https://azure.status.microsoft/en-us/status,https://azurestatuscdn.azureedge.net/en-us/status/feed/,,rss,GLOBAL,0.95,True,"Azure global service health. Use CDN URL — direct azure.status.microsoft/feed/ unreliable. USS-TJR-MSN-0339 WP1: confirmed live 2026-07-08, valid RSS 2.0, zero <item> elements — this is real, correct content (no active Azure incident right now), not a broken feed. Was previously misreported as failing (MSN-0338 §2/§9).",intermittent,14,False,False
Slack Status,cloud_technology,1,https://status.slack.com/,https://slack-status.com/feed/atom,,rss,GLOBAL,0.90,True,Atom 1.0. Canonical feed moved to slack-status.com (status.slack.com/feed/atom 301-redirects here).,continuous,14,False,False
Atlassian Status,cloud_technology,2,https://status.atlassian.com/,https://status.atlassian.com/history.rss,,rss,GLOBAL,0.88,True,"Covers Jira, Confluence, Bitbucket, Trello. Operational tooling dependency.",continuous,14,False,False
AWS Service Health Dashboard,cloud_technology,2,https://status.aws.amazon.com/,https://status.aws.amazon.com/rss/all.rss,,rss,GLOBAL,0.90,True,AWS global + ap-southeast-2 (Sydney) health events.,continuous,14,False,False
Canva Status,cloud_technology,2,https://www.canvastatus.com/,https://www.canvastatus.com/history.atom,,rss,AU,0.85,True,Atlassian Statuspage. Atom 1.0 confirmed. Correct domain is canvastatus.com (not canva-status.com).,continuous,14,False,False
Cloudflare Status,cloud_technology,2,https://www.cloudflarestatus.com/,https://www.cloudflarestatus.com/history.atom,,rss,GLOBAL,0.88,True,CDN/DNS/DDoS protection. Cloudflare outage impacts availability of web-facing services.,continuous,14,False,False
DocuSign Status,cloud_technology,2,https://status.docusign.com/,https://status.docusign.com/history.atom,,rss,GLOBAL,0.88,True,Atlassian Statuspage. Atom 1.0 confirmed.,continuous,14,False,False
